Port Chicago, CA Port Chicago, CA: Data Inventory 
Station ID: 9415144 Page Help 

Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.728  97.728  97.728  97.567  97.527  97.581  
Maximum:                14.100 344.000  17.900  28.000  22.300 1023.60  
Minimum:                 0.000   1.000   0.000   9.300  16.300 1009.00  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9415144 20050501 19:48   4.900 262.000   6.000  17.100  18.200 1019.30
9415144 20050501 19:54   5.000 264.000   5.800  17.200  18.100 1018.90
9415144 20050501 20:00   5.200 261.000   5.600  17.200  18.300 1019.00
9415144 20050501 20:06   4.700 262.000   5.400  17.300  18.400 1018.90
9415144 20050501 20:12   5.100 263.000   5.600  17.400  18.600 1019.10
9415144 20050501 20:18   5.300 263.000   5.800  17.400  18.700 1019.00
9415144 20050501 20:24   4.700 271.000   5.700  17.800  18.700 1018.70
9415144 20050501 20:30   4.100 270.000   5.000  17.500  18.700 1018.60
9415144 20050501 20:36   3.900 272.000   4.800  17.900  18.800 1018.60
9415144 20050501 20:42   3.800 270.000   4.600  17.700  18.900 1018.80
9415144 20050501 20:48   4.000 271.000   5.100  18.000  19.000 1018.80
9415144 20050501 20:54   5.300 265.000   5.600  18.100  19.000 1018.80
9415144 20050501 21:00   4.700 273.000   5.700  18.400  19.100 1018.70
9415144 20050501 21:06   5.700 266.000   6.000  18.200  18.400 1018.50
9415144 20050501 21:12   5.000 273.000   5.800  18.400  18.000 1018.50
9415144 20050501 21:18   5.200 270.000   5.800  18.700  17.900 1018.50
9415144 20050501 21:24   4.300 269.000   5.700  18.600  17.900 1018.50
9415144 20050501 21:30   5.100 262.000   5.900  18.700  18.000 1018.50
9415144 20050501 21:36   4.800 267.000   5.900  18.500  18.100 1018.50
9415144 20050501 21:42   4.900 266.000   5.900  19.300  18.300 1018.50
9415144 20050501 21:48   5.500 266.000   6.300  19.100  18.700 1018.50
9415144 20050501 21:54   5.600 268.000   6.700  19.300  18.500 1018.20
9415144 20050501 22:00   5.900 262.000   6.700  18.800  18.200 1018.10
9415144 20050501 22:06   6.400 261.000   7.500  18.500  18.100 1018.10
9415144 20050501 22:12   5.600 265.000   6.900  18.700  18.000 1018.20
9415144 20050501 22:18   5.600 265.000   7.200  18.700  18.000 1018.20
9415144 20050501 22:24   6.900 261.000   7.500  19.500  18.000 1018.30
9415144 20050501 22:30   6.700 259.000   7.200  18.900  18.000 1018.10
9415144 20050501 22:36   6.300 259.000   7.300  19.100  17.900 1018.00
9415144 20050501 22:42   6.200 263.000   7.200  18.900  17.900 1018.00
9415144 20050501 22:48   6.400 261.000   7.300  18.800  18.000 1017.90
9415144 20050501 22:54   6.600 261.000   7.600  19.100  18.200 1018.00
9415144 20050501 23:00   6.600 265.000   7.900  18.800  18.100 1017.90
9415144 20050501 23:06   7.400 258.000   8.100  19.600  18.000 1018.00
9415144 20050501 23:12   6.600 259.000   7.400  19.300  18.000 1017.70
9415144 20050501 23:18   6.400 257.000   7.300  19.100  18.000 1017.70
9415144 20050501 23:24   6.700 255.000   7.400  19.800  18.000 1017.80
9415144 20050501 23:30   5.800 251.000   7.400  19.300  18.000 1017.80
9415144 20050501 23:36   6.500 248.000   7.800  19.700  18.000 1017.80
9415144 20050501 23:42   5.500 254.000   7.400  20.100  18.000 1017.80
9415144 20050501 23:48   5.100 248.000   6.900  19.800  18.000 1017.80
9415144 20050501 23:54   5.700 249.000   6.700  20.100  18.000 1017.80
9415144 20050502 00:00   5.400 249.000   7.100  20.200  18.000 1017.60
9415144 20050502 00:06   6.400 241.000   7.400  19.800  18.000 1017.60
9415144 20050502 00:12   5.800 240.000   7.200  19.600  18.000 1017.80
9415144 20050502 00:18   5.900 239.000   8.000  19.800  17.900 1017.90
9415144 20050502 00:24   6.000 240.000   7.900  20.100  18.000 1017.80
9415144 20050502 00:30   6.500 242.000   7.700  19.600  17.900 1017.60
9415144 20050502 00:36   5.700 246.000   7.300  19.500  17.900 1017.60
9415144 20050502 00:42   7.000 238.000   8.400  19.700  18.000 1017.70
9415144 20050502 00:48   5.600 239.000   7.600  19.700  18.000 1017.70
9415144 20050502 00:54   6.000 246.000   7.600  19.400  18.000 1017.70
9415144 20050502 01:00   6.200 236.000   8.100  19.700  18.000 1017.80
9415144 20050502 01:06   5.800 243.000   7.900  19.900  18.000 1017.90
9415144 20050502 01:12   5.700 236.000   7.200  19.700  17.900 1017.80
9415144 20050502 01:18   6.700 241.000   8.300  19.400  17.900 1017.70
9415144 20050502 01:24   5.600 246.000   7.700  19.500  17.900 1017.80
9415144 20050502 01:30   5.900 235.000   8.700  19.200  17.900 1017.80
9415144 20050502 01:36   7.300 235.000   7.900  19.000  17.800 1017.80
9415144 20050502 01:42   7.300 241.000   8.200  18.900  17.800 1017.90
9415144 20050502 01:48   5.700 249.000   7.600  18.300  17.800 1017.90
9415144 20050502 01:54   6.600 253.000   7.700  18.000  17.700 1017.80
9415144 20050502 02:00   6.900 242.000   8.300  17.600  17.700 1017.60
9415144 20050502 02:06   6.600 241.000   7.800  17.500  17.700 1017.70
9415144 20050502 02:12   7.200 242.000   8.200  17.800  17.700 1017.80
9415144 20050502 02:18   6.000 235.000   7.500  17.300  17.700 1017.80
9415144 20050502 02:24   5.700 232.000   7.200  17.300  17.700 1017.70
9415144 20050502 02:30   6.300 230.000   7.800  17.000  17.700 1017.70
9415144 20050502 02:36   5.800 232.000   7.200  16.700  17.700 1017.80
9415144 20050502 02:42   6.400 234.000   7.800  16.800  17.700 1017.80
9415144 20050502 02:48   7.900 250.000   9.100  16.700  17.700 1017.90
9415144 20050502 02:54   7.800 250.000   8.800  17.200  17.700 1017.70
9415144 20050502 03:00   7.900 252.000   9.000  16.600  17.700 1017.70
9415144 20050502 03:06   8.000 248.000   8.800  16.500  17.600 1017.80
9415144 20050502 03:12   6.600 253.000   8.500  16.700  17.600 1018.00
9415144 20050502 03:18   7.100 252.000   8.500  16.000  17.600 1018.10
9415144 20050502 03:24   6.600 247.000   7.600  16.100  17.600 1018.00
9415144 20050502 03:30   5.600 234.000   7.300  15.800  17.600 1017.90
9415144 20050502 03:36   4.900 228.000   6.100  15.300  17.600 1018.10
9415144 20050502 03:42   4.600 222.000   6.200  15.000  17.600 1018.20
9415144 20050502 03:48   4.500 226.000   5.700  14.600  17.600 1018.30
9415144 20050502 03:54   4.700 234.000   5.600  15.000  17.600 1018.40
9415144 20050502 04:00   6.000 239.000   7.700  15.400  17.600 1018.40
9415144 20050502 04:06   5.300 239.000   7.500  15.100  17.600 1018.40
9415144 20050502 04:12   5.600 240.000   6.800  15.400  17.600 1018.40
9415144 20050502 04:18   5.100 227.000   6.500  14.300  17.600 1018.50
9415144 20050502 04:24   5.100 228.000   6.500  14.300  17.600 1018.20
9415144 20050502 04:30   5.000 225.000   6.500  14.200  17.600 1018.20
9415144 20050502 04:36   5.700 221.000   6.800  14.300  17.600 1018.10
9415144 20050502 04:42   5.700 224.000   7.000  14.000  17.600 1018.20
9415144 20050502 04:48   5.500 228.000   6.600  13.800  17.500 1018.40
9415144 20050502 04:54   5.800 221.000   7.400  14.200  17.500 1018.50
9415144 20050502 05:00   6.000 225.000   7.000  14.300  17.600 1018.40
9415144 20050502 05:06   5.100 215.000   6.300  13.900  17.500 1018.60
9415144 20050502 05:12   5.800 216.000   6.800  13.600  17.500 1018.60
9415144 20050502 05:18   5.100 215.000   6.300  13.500  17.500 1018.40
9415144 20050502 05:24   6.000 218.000   7.400  13.800  17.500 1018.60
9415144 20050502 05:30   5.300 215.000   6.800  13.700  17.500 1018.60
9415144 20050502 05:36   4.700 214.000   6.100  13.700  17.500 1018.60
9415144 20050502 05:42   5.000 217.000   6.500  13.800  17.500 1018.60
9415144 20050502 05:48   3.300 210.000   5.600  13.600  17.500 1018.60
9415144 20050502 05:54   4.800 211.000   6.100  13.600  17.500 1018.50
9415144 20050502 06:00   4.600 214.000   6.900  13.400  17.500 1018.50
9415144 20050502 06:06   3.900 211.000   5.500  13.600  17.500 1018.30
9415144 20050502 06:12   3.600 209.000   5.900  13.900  17.500 1018.40
9415144 20050502 06:18   4.700 213.000   6.600  13.600  17.500 1018.40
9415144 20050502 06:24   5.300 214.000   6.800  13.700  17.500 1018.40
9415144 20050502 06:30   4.900 214.000   6.100  13.300  17.500 1018.40
9415144 20050502 06:36   3.400 206.000   5.600  13.100  17.500 1018.60
9415144 20050502 06:42   3.800 208.000   5.500  13.100  17.500 1018.50
9415144 20050502 06:48   3.300 209.000   5.000  13.100  17.500 1018.30
9415144 20050502 06:54   3.100 209.000   5.100  13.500  17.500 1018.40
9415144 20050502 07:00   3.700 208.000   5.000  13.600  17.400 1018.50
9415144 20050502 07:06   3.500 208.000   4.800  13.700  17.400 1018.50
9415144 20050502 07:12   3.100 207.000   4.700  13.500  17.400 1018.50
9415144 20050502 07:18   3.100 207.000   4.800  13.200  17.400 1018.60
9415144 20050502 07:24   1.800 206.000   4.200  12.900  17.400 1018.30
9415144 20050502 07:30   2.200 204.000   3.300  13.100  17.400 1018.30
9415144 20050502 07:36   1.400 209.000   3.600  12.400  17.400 1018.20
9415144 20050502 07:42                                                
9415144 20050502 07:48   3.500 210.000   4.700  12.800  17.300 1018.70
9415144 20050502 07:54   3.400 208.000   5.000  12.900  17.300 1018.40
9415144 20050502 08:00   3.400 210.000   4.700  12.700  17.300 1018.40
9415144 20050502 08:06   3.900 210.000   5.200  13.100  17.300 1018.40
9415144 20050502 08:12   3.900 210.000   5.600  13.100  17.300 1018.70
9415144 20050502 08:18   4.900 213.000   5.800  12.800  17.300 1018.70
9415144 20050502 08:24   5.100 215.000   6.300  12.800  17.200 1018.40
9415144 20050502 08:30                                                
9415144 20050502 08:36   5.300 217.000   6.200  12.700  17.200 1018.40
9415144 20050502 08:42   4.700 216.000   5.700  12.700  17.200 1018.50
9415144 20050502 08:48   5.100 217.000   5.900  12.300  17.200 1018.60
9415144 20050502 08:54   4.700 214.000   5.600  12.600  17.100 1018.40
9415144 20050502 09:00   4.800 213.000   5.700  12.700  17.100 1018.30
9415144 20050502 09:06   4.300 208.000   5.700  12.800  17.100 1018.20
9415144 20050502 09:12   4.700 210.000   6.400  12.500  17.000 1018.40
9415144 20050502 09:18   5.100 210.000   6.400  12.700  17.000 1018.30
9415144 20050502 09:24   5.500 209.000   6.800  12.700  17.000 1018.30
9415144 20050502 09:30   4.300 207.000   6.400  12.500  17.000 1018.30
9415144 20050502 09:36   3.900 205.000   6.500  12.800  16.900 1018.20
9415144 20050502 09:42   4.500 209.000   6.700  12.600  16.900 1018.20
9415144 20050502 09:48   3.600 208.000   5.900  12.400  16.900 1018.30
9415144 20050502 09:54   3.200 209.000   4.700  12.500  16.900 1018.50
9415144 20050502 10:00   4.000 213.000   5.700  12.900  16.900 1018.50
9415144 20050502 10:06   3.500 211.000   5.400  12.700  16.800 1018.30
9415144 20050502 10:12   3.800 208.000   5.400  12.300  16.800 1018.30
9415144 20050502 10:18   4.200 210.000   6.000  12.500  16.800 1018.30
9415144 20050502 10:24   3.100 204.000   5.400  12.200  16.700 1018.30
9415144 20050502 10:30   2.900 205.000   5.700  12.100  16.700 1018.40
9415144 20050502 10:36   3.500 209.000   4.900  12.600  16.700 1018.40
9415144 20050502 10:42   1.900 200.000   4.200  11.800  16.700 1018.10
9415144 20050502 10:48   2.700 205.000   4.300  12.400  16.700 1018.20
9415144 20050502 10:54   2.100 203.000   4.400  12.100  16.700 1018.40
9415144 20050502 11:00   2.200 195.000   3.900  12.100  16.700 1018.50
9415144 20050502 11:06   2.400 194.000   4.300  12.100  16.600 1018.60
9415144 20050502 11:12   3.200 193.000   4.600  12.300  16.600 1018.30
9415144 20050502 11:18   2.000 191.000   5.200  11.400  16.600 1018.30
9415144 20050502 11:24   2.800 190.000   4.400  11.900  16.600 1018.40
9415144 20050502 11:30   3.000 190.000   5.300  11.600  16.600 1018.50
9415144 20050502 11:36   3.300 192.000   4.900  11.800  16.600 1018.60
9415144 20050502 11:42   2.900 195.000   4.700  11.700  16.600 1018.20
