Redwood City, CA: Data Inventory 
Station ID: 9414523 Page Help 

Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.540  97.540  97.540  97.366  97.352  97.392  
Maximum:                11.500 359.000  14.200  25.700  20.500 1021.20  
Minimum:                 0.000   0.000   0.000   9.900  15.900 1010.20  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414523 20050501 10:18   0.000 189.000   0.000  13.100  16.100 1019.10
9414523 20050501 10:24   0.000 183.000   0.000  13.000  16.100 1019.00
9414523 20050501 10:30   0.000 198.000   0.000  12.900  16.100 1019.00
9414523 20050501 10:36   0.000 182.000   0.000  12.800  16.100 1018.90
9414523 20050501 10:42   0.000 198.000   0.000  12.800  16.100 1019.00
9414523 20050501 10:48   0.000 213.000   0.300  12.900  16.100 1019.10
9414523 20050501 10:54   0.000 223.000   0.000  12.900  16.100 1019.00
9414523 20050501 11:00   0.000 220.000   0.000  12.900  16.100 1019.00
9414523 20050501 11:06   0.000 223.000   0.000  12.800  16.100 1019.00
9414523 20050501 11:12   0.000 209.000   0.000  12.800  16.100 1019.10
9414523 20050501 11:18   0.000 232.000   0.000  12.900  16.100 1019.20
9414523 20050501 11:24   0.100 223.000   1.600  12.700  16.100 1019.10
9414523 20050501 11:30   0.000 233.000   0.000  12.800  16.100 1019.10
9414523 20050501 11:36   0.000 212.000   0.500  12.700  16.100 1019.10
9414523 20050501 11:42   0.700 229.000   2.100  12.900  16.100 1019.10
9414523 20050501 11:48   0.900 221.000   1.800  12.800  16.100 1019.00
9414523 20050501 11:54   0.000 207.000   1.700  12.700  16.100 1018.90
9414523 20050501 12:00   0.000 219.000   0.000  12.800  16.100 1018.90
9414523 20050501 12:06   0.000 205.000   0.000  12.700  16.100 1018.90
9414523 20050501 12:12   0.000 202.000   0.000  12.600  16.100 1018.50
9414523 20050501 12:18                                         1018.40
9414523 20050501 12:24   0.000 195.000   0.000  12.600  16.100 1018.60
9414523 20050501 12:30   0.000 200.000   0.000  12.500  16.100 1018.80
9414523 20050501 12:36   0.000 193.000   0.000  12.500  16.100 1018.80
9414523 20050501 12:42                                                
9414523 20050501 12:48   0.000 210.000   0.000  12.400  16.000 1018.80
9414523 20050501 12:54   0.000 233.000   0.100  12.500  16.000 1018.80
9414523 20050501 13:00   0.000 230.000   0.000  12.400  16.000 1018.90
9414523 20050501 13:06   0.000 240.000   0.000  12.500  16.000 1018.90
9414523 20050501 13:12   0.000 272.000   0.000  12.400  16.000 1018.50
9414523 20050501 13:18   0.000 298.000   0.400  12.200  16.000 1018.50
9414523 20050501 13:24   0.000 308.000   0.000  12.200  16.000 1018.80
9414523 20050501 13:30   0.000 272.000   0.000  12.300  16.000 1019.10
9414523 20050501 13:36   0.000 308.000   0.000  12.400  16.000 1019.10
9414523 20050501 13:42   0.400 335.000   1.700  12.500  16.000 1019.20
9414523 20050501 13:48   0.500 338.000   1.500  12.600  16.000 1019.20
9414523 20050501 13:54   1.500 318.000   2.200  12.500  16.000 1019.20
9414523 20050501 14:00   1.800 299.000   3.000  12.500  16.000 1019.30
9414523 20050501 14:06   2.500 291.000   4.000  12.600  16.000 1019.40
9414523 20050501 14:12   2.300 297.000   3.400  12.500  15.900 1018.90
9414523 20050501 14:18   1.700 306.000   2.800  12.600  15.900 1018.90
9414523 20050501 14:24   1.300 300.000   1.600  12.700  16.000 1019.00
9414523 20050501 14:30   1.300 298.000   1.800  12.900  15.900 1019.40
9414523 20050501 14:36   0.200 291.000   1.600  13.000  16.000 1019.50
9414523 20050501 14:42   0.300 326.000   1.300  13.100  16.000 1019.60
9414523 20050501 14:48   0.000 340.000   1.400  13.300  16.000 1019.60
9414523 20050501 14:54   0.200 350.000   1.500  13.500  16.000 1019.60
9414523 20050501 15:00   0.000 343.000   0.000  13.400  15.900 1019.50
9414523 20050501 15:06   0.000   1.000   0.000  13.700  15.900 1019.50
9414523 20050501 15:12   0.000  78.000   0.000  13.700  15.900 1019.40
9414523 20050501 15:18   0.000  32.000   0.000  13.900  15.900 1019.30
9414523 20050501 15:24                                                
9414523 20050501 15:30   0.000 329.000   0.000  14.200  15.900 1019.60
9414523 20050501 15:36   0.000 150.000   0.000  14.700  15.900 1019.70
9414523 20050501 15:42   0.000 123.000   0.000  14.600  15.900 1019.80
9414523 20050501 15:48   0.000 117.000   0.000  14.500  15.900 1019.80
9414523 20050501 15:54   0.000 131.000   0.000  14.400  15.900 1019.80
9414523 20050501 16:00   0.000 117.000   0.400  14.900  16.000 1019.80
9414523 20050501 16:06   0.000 116.000   0.000  14.500  15.900 1019.90
9414523 20050501 16:12   0.000 128.000   0.000  14.500  15.900 1019.90
9414523 20050501 16:18   0.000  57.000   0.000  14.400  16.000 1019.90
9414523 20050501 16:24   0.200 118.000   1.400  14.400  16.000 1020.00
9414523 20050501 16:30   0.000 105.000   0.300  14.700  16.000 1020.10
9414523 20050501 16:36   0.000 117.000   1.600  14.800  16.000 1020.10
9414523 20050501 16:42   0.300 125.000   2.300  15.100  16.000 1020.00
9414523 20050501 16:48   0.400 115.000   1.700  15.000  16.000 1020.10
9414523 20050501 16:54   1.600  96.000   3.700  14.800  16.000 1020.10
9414523 20050501 17:00   0.100  89.000   3.000  14.900  16.000 1020.10
9414523 20050501 17:06   0.000  95.000   1.600  15.300  16.000 1020.10
9414523 20050501 17:12   1.300  80.000   3.700  15.200  16.000 1020.30
9414523 20050501 17:18   0.600  67.000   2.400  14.900  16.000 1020.40
9414523 20050501 17:24   1.100  50.000   3.400  14.900  16.000 1020.40
9414523 20050501 17:30   2.100  41.000   4.000  14.900  16.000 1020.20
9414523 20050501 17:36   1.700  36.000   3.700  15.000  15.900 1020.30
9414523 20050501 17:42   0.800  50.000   3.300  15.100  16.000 1020.30
9414523 20050501 17:48   2.200  56.000   3.500  15.000  16.000 1020.30
9414523 20050501 17:54   0.500  72.000   3.300  15.300  16.000 1020.30
9414523 20050501 18:00   1.500  44.000   3.600  15.200  16.000 1020.20
9414523 20050501 18:06   2.900  24.000   4.000  15.200  16.000 1020.20
9414523 20050501 18:12   2.100  16.000   4.200  15.200  16.000 1020.40
9414523 20050501 18:18   0.900  38.000   2.400  15.600  16.100 1020.30
9414523 20050501 18:24   1.600  31.000   3.700  15.600  16.100 1020.20
9414523 20050501 18:30   2.100  25.000   4.100  15.500  16.100 1020.30
9414523 20050501 18:36   0.800  33.000   3.900  15.800  16.100 1020.20
9414523 20050501 18:42   1.800  47.000   4.000  16.100  16.100 1020.20
9414523 20050501 18:48   2.200  35.000   3.800  16.100  16.100 1020.20
9414523 20050501 18:54   2.900  19.000   4.100  15.900  16.200 1020.20
9414523 20050501 19:00   3.100  19.000   4.100  16.000  16.200 1020.20
9414523 20050501 19:06   2.500  42.000   4.400  16.200  16.200 1020.10
9414523 20050501 19:12   2.500  27.000   4.600  16.100  16.200 1020.00
9414523 20050501 19:18   3.200  22.000   4.700  16.100  16.300 1020.00
9414523 20050501 19:24   3.500  31.000   5.300  16.400  16.300 1020.00
9414523 20050501 19:30   4.100   8.000   5.100  16.200  16.300 1020.00
9414523 20050501 19:36   4.100  12.000   4.900  16.100  16.300 1020.00
9414523 20050501 19:42   4.400  21.000   5.900  16.100  16.400 1020.00
9414523 20050501 19:48   3.700  12.000   5.800  16.300  16.400 1020.00
9414523 20050501 19:54   4.700  26.000   5.700  16.500  16.400 1019.90
9414523 20050501 20:00   4.200  29.000   5.900  16.700  16.400 1019.60
9414523 20050501 20:06   2.900  27.000   5.300  16.900  16.400 1019.50
9414523 20050501 20:12   5.200  24.000   6.800  16.700  16.400 1019.60
9414523 20050501 20:18   5.100  16.000   6.000  16.800  16.500 1019.60
9414523 20050501 20:24   4.700  22.000   6.600  16.900  16.600 1019.50
9414523 20050501 20:30   5.000  29.000   6.700  17.000  16.800 1019.50
9414523 20050501 20:36   5.800  12.000   7.400  16.800  16.800 1019.50
9414523 20050501 20:42   6.100  15.000   7.600  17.000  16.800 1019.60
9414523 20050501 20:48   5.900  14.000   7.300  17.100  16.900 1019.50
9414523 20050501 20:54   5.800  21.000   7.300  17.100  16.900 1019.50
9414523 20050501 21:00   5.900  20.000   7.300  17.400  17.000 1019.40
9414523 20050501 21:06   4.700  28.000   6.500  17.200  17.100 1019.50
9414523 20050501 21:12   6.200  13.000   7.900  17.600  17.100 1019.40
9414523 20050501 21:18   5.800  16.000   6.900  17.800  17.100 1019.30
9414523 20050501 21:24   5.300  12.000   7.100  18.200  17.100 1019.30
9414523 20050501 21:30   5.700 356.000   7.500  18.300  17.100 1019.30
9414523 20050501 21:36   6.500  17.000   8.400  18.500  17.100 1019.20
9414523 20050501 21:42   4.300 343.000   9.400  18.500  17.200 1019.00
9414523 20050501 21:48   5.100 310.000   6.200  18.400  17.200 1019.10
9414523 20050501 21:54   4.200 318.000   6.000  18.500  17.200 1019.00
9414523 20050501 22:00   3.300 315.000   6.100  18.300  17.200 1019.00
9414523 20050501 22:06   3.800 339.000   6.000  18.300  17.200 1019.00
9414523 20050501 22:12   4.600 318.000   5.900  18.300  17.200 1019.20
9414523 20050501 22:18   6.000 329.000   7.300  18.400  17.200 1019.10
9414523 20050501 22:24   5.700 334.000   6.600  18.100  17.200 1019.10
9414523 20050501 22:30   4.300 308.000   6.600  18.300  17.200 1018.90
9414523 20050501 22:36   5.500 312.000   7.000  18.100  17.200 1018.90
9414523 20050501 22:42   6.200 320.000   7.900  18.000  17.200 1019.00
9414523 20050501 22:48   6.700 305.000   7.700  18.200  17.200 1018.90
9414523 20050501 22:54   6.900 298.000   7.900  17.800  17.200 1018.90
9414523 20050501 23:00   6.500 310.000   8.100  17.900  17.200 1018.90
9414523 20050501 23:06   7.100 309.000   8.200  18.100  17.200 1018.70
9414523 20050501 23:12   7.100 304.000   8.000  17.900  17.200 1018.80
9414523 20050501 23:18   6.300 309.000   8.500  18.100  17.200 1018.70
9414523 20050501 23:24   6.400 300.000   8.000  18.100  17.200 1018.80
9414523 20050501 23:30   7.000 309.000   8.300  17.900  17.200 1018.80
9414523 20050501 23:36   6.600 300.000   8.500  17.900  17.200 1018.80
9414523 20050501 23:42   7.600 296.000   8.700  18.000  17.200 1018.70
9414523 20050501 23:48   7.700 305.000   9.000  17.600  17.200 1018.70
9414523 20050501 23:54   7.400 296.000   8.800  17.700  17.200 1018.80
9414523 20050502 00:00   6.300 303.000   8.600  17.900  17.200 1018.70
9414523 20050502 00:06   6.700 303.000   8.500  17.600  17.200 1018.70
9414523 20050502 00:12   7.200 302.000   9.000  17.500  17.200 1018.80
9414523 20050502 00:18   6.800 309.000   8.100  17.500  17.200 1018.90
9414523 20050502 00:24   7.100 303.000   8.700  17.300  17.200 1019.00
9414523 20050502 00:30   7.100 306.000   8.300  17.100  17.100 1018.80
9414523 20050502 00:36   7.100 304.000   9.600  17.100  17.200 1018.80
9414523 20050502 00:42   6.200 296.000   8.100  17.100  17.200 1018.90
9414523 20050502 00:48   6.500 300.000   8.800  16.900  17.200 1019.00
9414523 20050502 00:54   4.500 307.000   7.900  16.800  17.200 1019.00
9414523 20050502 01:00   7.600 295.000   8.900  16.600  17.200 1019.00
9414523 20050502 01:06   8.500 287.000   9.600  16.500  17.200 1018.90
9414523 20050502 01:12   7.900 290.000   8.900  16.400  17.100 1018.80
9414523 20050502 01:18   6.800 289.000   8.300  16.500  17.100 1018.80
9414523 20050502 01:24   7.100 286.000   8.400  16.500  17.000 1018.70
9414523 20050502 01:30   6.900 286.000   7.500  16.500  16.800 1018.70
9414523 20050502 01:36   5.900 283.000   7.200  16.700  16.600 1018.60
9414523 20050502 01:42   6.100 286.000   7.200  16.500  16.500 1018.80
9414523 20050502 01:48   5.900 287.000   6.800  16.500  16.600 1018.70
9414523 20050502 01:54   5.300 287.000   5.800  16.700  16.600 1018.70
9414523 20050502 02:00   4.700 291.000   5.700  16.500  16.700 1018.60
9414523 20050502 02:06   4.500 288.000   5.200  16.500  16.700 1018.60
9414523 20050502 02:12   5.000 283.000   5.700  16.400  16.700 1018.60
9414523 20050502 02:18   4.600 287.000   5.300  16.400  16.800 1018.70
9414523 20050502 02:24   5.000 283.000   5.400  16.100  16.800 1018.70
9414523 20050502 02:30   4.900 288.000   5.700  15.900  16.800 1018.80
9414523 20050502 02:36   4.700 286.000   5.200  15.700  16.800 1018.80
9414523 20050502 02:42   4.500 288.000   5.100  15.700  16.800 1018.80
9414523 20050502 02:48   4.400 291.000   5.100  15.600  16.800 1018.80
9414523 20050502 02:54   4.600 298.000   5.400  15.500  16.800 1018.80
9414523 20050502 03:00   3.600 301.000   5.200  15.400  16.800 1018.80
9414523 20050502 03:06   3.100 299.000   4.800  15.300  16.800 1018.90
9414523 20050502 03:12   2.700 304.000   4.200  15.300  16.900 1018.90
9414523 20050502 03:18   3.400 309.000   3.900  15.200  16.900 1018.90
9414523 20050502 03:24   2.800 305.000   4.100  15.100  16.900 1018.90
9414523 20050502 03:30   3.500 293.000   4.100  15.100  16.900 1019.00
9414523 20050502 03:36   3.700 289.000   4.300  15.100  16.900 1019.00
9414523 20050502 03:42   4.100 293.000   4.600  15.000  16.900 1019.00
9414523 20050502 03:48   3.900 291.000   4.500  15.000  16.900 1019.00
9414523 20050502 03:54   3.200 311.000   4.200  14.900  16.800 1018.90
9414523 20050502 04:00   3.500 295.000   4.400  14.900  16.900 1019.00
9414523 20050502 04:06   3.000 312.000   3.700  14.800  16.900 1019.10
9414523 20050502 04:12   3.700 293.000   4.200  14.900  16.900 1019.10
9414523 20050502 04:18   3.100 297.000   4.300  14.800  16.900 1019.10
9414523 20050502 04:24   2.100 311.000   3.900  14.700  16.900 1019.20
9414523 20050502 04:30   2.800 311.000   3.500  14.600  16.900 1019.20
9414523 20050502 04:36   1.700 307.000   3.700  14.700  16.900 1019.30
9414523 20050502 04:42   0.000 299.000   1.600  14.600  16.900 1019.40
9414523 20050502 04:48   2.400 323.000   3.100  14.400  16.900 1019.50
9414523 20050502 04:54   1.700 317.000   3.200  14.300  16.900 1019.50
9414523 20050502 05:00   1.600 322.000   1.800  14.300  16.900 1019.50
9414523 20050502 05:06   2.100 313.000   3.400  14.400  16.900 1019.50
9414523 20050502 05:12   2.000 329.000   3.100  14.500  16.900 1019.50
9414523 20050502 05:18   1.900 321.000   3.000  14.500  16.900 1019.50
9414523 20050502 05:24   2.700 310.000   3.600  14.300  16.900 1019.40
9414523 20050502 05:30   3.800 309.000   4.300  14.400  16.900 1019.40
9414523 20050502 05:36   1.900 307.000   3.900  14.200  16.900 1019.40
9414523 20050502 05:42   1.800 312.000   3.200  14.100  16.900 1019.50
9414523 20050502 05:48   3.000 310.000   3.500  14.200  16.900 1019.40
9414523 20050502 05:54   2.600 310.000   3.500  14.000  16.900 1019.40
9414523 20050502 06:00   3.600 300.000   4.100  14.100  16.900 1019.40
9414523 20050502 06:06   3.500 289.000   4.500  14.200  16.900 1019.50
9414523 20050502 06:12   3.700 288.000   4.200  14.000  16.900 1019.50
9414523 20050502 06:18   4.200 298.000   4.800  13.900  16.900 1019.40
9414523 20050502 06:24   3.700 299.000   4.600  13.900  16.900 1019.50
9414523 20050502 06:30   3.100 300.000   4.300  13.800  16.900 1019.50
9414523 20050502 06:36   2.700 302.000   4.200  13.800  16.900 1019.60
9414523 20050502 06:42   3.600 292.000   4.400  13.900  17.000 1019.70
9414523 20050502 06:48   4.000 284.000   5.100  13.900  16.900 1019.70
9414523 20050502 06:54   4.200 286.000   4.700  13.700  16.900 1019.70
9414523 20050502 07:00   4.100 286.000   5.000  13.700  16.900 1019.70
9414523 20050502 07:06   4.100 290.000   5.600  13.600  16.900 1019.70
9414523 20050502 07:12   3.500 293.000   5.300  13.700  17.000 1019.60
9414523 20050502 07:18   3.300 283.000   4.000  13.600  17.000 1019.60
9414523 20050502 07:24   2.400 279.000   3.500  13.600  17.000 1019.60
9414523 20050502 07:30   1.700 288.000   3.200  13.500  16.900 1019.50
9414523 20050502 07:36   1.700 286.000   1.900  13.500  16.900 1019.50
9414523 20050502 07:42   1.500 282.000   1.900  13.500  16.900 1019.60
9414523 20050502 07:48   2.400 283.000   3.400  13.600  16.900 1019.60
9414523 20050502 07:54   1.700 270.000   3.000  13.500  16.900 1019.60
9414523 20050502 08:00   0.400 268.000   2.300  13.500  16.900 1019.60
9414523 20050502 08:06   0.400 265.000   1.800  13.500  16.900 1019.70
9414523 20050502 08:12   0.000 252.000   0.000  13.400  16.900 1019.70
9414523 20050502 08:18   0.000 263.000   0.000  13.500  16.900 1019.60
9414523 20050502 08:24   0.000 286.000   0.000  13.500  16.900 1019.60
9414523 20050502 08:30   0.000 266.000   0.200  13.500  16.900 1019.60
9414523 20050502 08:36                                                
9414523 20050502 08:42   0.000 252.000   0.000  13.400  16.900 1019.60
9414523 20050502 08:48   0.000 195.000   0.000  12.900  16.900 1019.60
9414523 20050502 08:54   0.000 216.000   0.000  12.700  16.900 1019.60
9414523 20050502 09:00   0.000 186.000   0.000  12.700  16.900 1019.60
9414523 20050502 09:06   0.000 170.000   0.000  12.600  16.900 1019.60
9414523 20050502 09:12   0.000 179.000   0.000  12.500  16.800 1019.60
